CODIGO_UPZ,UPZ,LOCALIDAD,JOVENES_TOTAL,GRUPO_A,GRUPO_B,GRUPO_C,GRUPO_D,BENEFICIARIOS_RUTA_CORTA,TASA_COBERTURA,BRECHA_ABSOLUTA,PRIORIDAD_EXPANSION
85,BOSA CENTRAL,Bosa,47149,3607,15997,23188,4357,12809,27.2,34340,Alta
71,TIBABUYES,Suba,46987,3423,14985,22585,5994,14330,30.5,32657,Alta
28,EL RINCON,Suba,39085,2632,12268,19190,4995,10868,27.8,28217,Alta
84,BOSA OCCIDENTAL,Bosa,38894,3428,13722,18115,3629,11600,29.8,27294,Alta
67,LUCERO,Ciudad Bolivar,38496,6094,16095,14586,1721,13050,33.9,25446,Alta
69,ISMAEL PERDOMO,Ciudad Bolivar,32288,3557,10982,14322,3427,9394,29.1,22894,Alta
86,EL PORVENIR,Bosa,28282,2007,8980,14373,2922,7836,27.7,20446,Alta
57,GRAN YOMASA,Usme,27416,2788,10004,12453,2171,7605,27.7,19811,Alta
82,PATIO BONITO,Kennedy,28549,3142,11522,11956,1929,9729,34.1,18820,Alta
74,ENGATIVA,Engativa,25056,1883,7725,12266,3182,6952,27.7,18104,Alta
70,JERUSALEM,Ciudad Bolivar,23241,2836,9273,9856,1276,6934,29.8,16307,Alta
58,COMUNEROS,Usme,22271,2292,8211,10032,1736,6404,28.8,15867,Alta
87,TINTAL SUR,Bosa,21556,1207,5918,12005,2426,6051,28.1,15505,Alta
54,MARRUECOS,Rafael Uribe Uribe,19575,1533,6496,9300,2246,5116,26.1,14459,Alta
42,VENECIA,Tunjuelito,18001,1105,5713,8306,2877,4472,24.8,13529,Critica
50,LA GLORIA,San Cristobal,19162,2158,7363,8248,1393,6091,31.8,13071,Alta
73,GARCES NAVAS,Engativa,15751,713,3482,7837,3719,3635,23.1,12116,Critica
32,SAN BLAS,San Cristobal,17123,1541,6292,7663,1627,5196,30.3,11927,Alta
79,CALANDAIMA,Kennedy,15756,521,3446,8465,3324,4261,27.0,11495,Alta
48,TIMIZA,Kennedy,15224,854,4299,7543,2528,3989,26.2,11235,Alta
51,LOS LIBERTADORES,San Cristobal,16378,1820,6194,7139,1225,5328,32.5,11050,Alta
55,DIANA TURBAY,Rafael Uribe Uribe,15821,1806,6247,6727,1041,4901,31.0,10920,Alta
